client_id,date,value_usd,segment
9295A,2016-04-20,16.25,B2C
9238A,2016-04-23,11.5,B2B
9105A,2016-04-23,16.25,B2C
9238A,2016-04-25,11.5,B2B
9389A,2016-04-26,18.0,B2C
9365A,2016-04-26,11.5,B2B
9417A,2016-04-26,11.75,B2C
9118A,2016-04-27,14.21875,B2C
9105A,2016-04-27,16.25,B2C
9280A,2016-04-27,16.25,B2C
9365A,2016-04-29,11.5,B2B
9280A,2016-04-30,16.25,B2C
9238A,2016-05-01,11.5,B2B
9236A,2016-05-01,13.75,B2C
9450A,2016-05-01,8.75,B2C
9389A,2016-05-01,11.75,B2C
9295A,2016-05-04,16.25,B2C
9365A,2016-05-06,11.5,B2B
9357A,2016-05-06,2.5,B2C
9238A,2016-05-07,11.5,B2B
9487A,2016-05-08,11.75,B2B
9482A,2016-05-09,7.10925,B2C
9482A,2016-05-09,14.21875,B2C
9365A,2016-05-10,11.5,B2B
9417A,2016-05-10,11.75,B2C
9238A,2016-05-10,11.5,B2B
9236A,2016-05-11,13.75,B2C
9118A,2016-05-11,14.21875,B2C
9280A,2016-05-11,14.21875,B2C
9105A,2016-05-11,16.25,B2C
9365A,2016-05-13,11.5,B2B
9057A,2016-05-13,11.5,B2C
9494A,2016-05-13,11.75,B2C
9238A,2016-05-14,11.5,B2B
9357A,2016-05-15,7.5,B2C
9487A,2016-05-15,11.75,B2B
9238A,2016-05-16,11.5,B2B
9365A,2016-05-17,11.5,B2B
9482A,2016-05-17,14.21875,B2C
9105A,2016-05-18,16.25,B2C
9118A,2016-05-18,14.21875,B2C
9280A,2016-05-18,14.21875,B2C
9365A,2016-05-20,11.5,B2B
9259A,2016-05-20,14.6875,B2C
9528A,2016-05-20,7.5,B2C
9357A,2016-05-20,7.5,B2C
9238A,2016-05-21,11.5,B2B
9528A,2016-05-21,7.5,B2C
9238A,2016-05-23,11.5,B2B
9417A,2016-05-23,14.6875,B2C
9226A,2016-05-24,14.6875,B2C
9482A,2016-05-24,14.21875,B2C
9365A,2016-05-24,14.21875,B2B
9494A,2016-05-24,11.75,B2C
9280A,2016-05-25,14.21875,B2C
9118A,2016-05-25,14.21875,B2C
9105A,2016-05-25,16.25,B2C
9365A,2016-05-27,14.21875,B2B
9057A,2016-05-27,11.5,B2C
9238A,2016-05-28,11.5,B2B
9417A,2016-05-28,14.6875,B2C
9482A,2016-05-30,14.21875,B2C
9238A,2016-05-30,11.5,B2B
9105A,2016-06-01,16.25,B2C
9118A,2016-06-01,14.21875,B2C
9226A,2016-06-01,14.6875,B2C
9236A,2016-06-01,13.75,B2C
9259A,2016-06-03,14.6875,B2C
9365A,2016-06-03,14.21875,B2B
9238A,2016-06-04,11.5,B2B
9417A,2016-06-04,14.6875,B2C
9582A,2016-06-05,7.5,B2B
9226A,2016-06-07,14.6875,B2C
9482A,2016-06-07,14.21875,B2C
9238A,2016-06-07,11.5,B2B
9280A,2016-06-08,14.21875,B2C
9118A,2016-06-08,14.21875,B2C
9105A,2016-06-08,16.25,B2C
9057A,2016-06-08,11.5,B2C
9236A,2016-06-08,6.875,B2C
9259A,2016-06-10,14.6875,B2C
9365A,2016-06-10,14.21875,B2B
9582A,2016-06-10,10.71875,B2B
9595A,2016-06-10,8.75,B2C
9487A,2016-06-13,16.25,B2B
9238A,2016-06-13,11.5,B2B
9598A,2016-06-13,11.75,B2C
9226A,2016-06-14,14.6875,B2C
9365A,2016-06-14,14.21875,B2B
9417A,2016-06-14,14.6875,B2C
9608A,2016-06-14,7.5,B2C
9595A,2016-06-14,8.75,B2C
9624A,2016-06-14,7.5,B2C
9592A,2016-06-15,7.5,B2C
9118A,2016-06-15,14.21875,B2C
9057A,2016-06-15,11.5,B2C
9482A,2016-06-18,14.21875,B2C
9365A,2016-06-18,14.21875,B2B
9582A,2016-06-18,10.71875,B2B
9259A,2016-06-19,14.6875,B2C
9238A,2016-06-19,11.5,B2B
9639A,2016-06-20,11.25,B2C
9482A,2016-06-21,14.21875,B2C
9417A,2016-06-21,14.6875,B2C
9365A,2016-06-21,14.21875,B2B
9238A,2016-06-21,11.5,B2B
9118A,2016-06-22,14.21875,B2C
9280A,2016-06-22,14.21875,B2C
9105A,2016-06-22,16.25,B2C
9415A,2016-06-22,10.0,B2C
9365A,2016-06-24,14.21875,B2B
9582A,2016-06-24,10.71875,B2B
9259A,2016-06-24,14.6875,B2C
9487A,2016-06-24,16.25,B2B
9238A,2016-06-25,11.5,B2B
9118A,2016-06-25,11.5,B2C
9659A,2016-06-25,7.5,B2B
9417A,2016-06-28,14.6875,B2C
9238A,2016-06-28,11.5,B2B
9682A,2016-06-28,11.75,B2C
9280A,2016-06-29,14.21875,B2C
9226A,2016-06-29,14.6875,B2C
9105A,2016-06-29,16.25,B2C
9608A,2016-06-29,11.5,B2C
9057A,2016-06-29,11.5,B2C
9482A,2016-07-01,14.21875,B2C
9582A,2016-07-01,10.71875,B2B
9236A,2016-07-01,13.75,B2C
9259A,2016-07-01,14.6875,B2C
9487A,2016-07-01,16.25,B2B
9238A,2016-07-02,11.5,B2B
9704A,2016-07-02,11.75,B2C
9417A,2016-07-05,14.6875,B2C
9238A,2016-07-05,11.5,B2B
9595A,2016-07-05,14.6875,B2C
9718A,2016-07-05,10.0,B2C
9365A,2016-07-05,14.21875,B2B
9057A,2016-07-05,11.5,B2C
9280A,2016-07-06,14.21875,B2C
9105A,2016-07-06,16.25,B2C
9118A,2016-07-06,14.21875,B2C
9482A,2016-07-06,14.21875,B2C
9743A,2016-07-06,7.5,B2C
9259A,2016-07-09,14.6875,B2C
9118A,2016-07-09,11.5,B2C
9365A,2016-07-09,14.21875,B2B
9608A,2016-07-09,11.5,B2C
9752A,2016-07-09,7.5,B2C
9582A,2016-07-09,10.71875,B2B
9639A,2016-07-10,6.875,B2C
9595A,2016-07-12,14.6875,B2C
9417A,2016-07-12,14.6875,B2C
9365A,2016-07-12,14.21875,B2B
9624A,2016-07-12,13.75,B2C
9238A,2016-07-12,11.5,B2B
9482A,2016-07-13,14.21875,B2C
9105A,2016-07-13,16.25,B2C
9226A,2016-07-13,14.6875,B2C
9118A,2016-07-16,11.5,B2C
9582A,2016-07-16,10.71875,B2B
9365A,2016-07-16,14.21875,B2B
9608A,2016-07-16,11.5,B2C
9238A,2016-07-17,11.5,B2B
9259A,2016-07-18,16.25,B2C
9482A,2016-07-18,14.21875,B2C
9487A,2016-07-18,16.25,B2B
9105A,2016-07-18,16.25,B2C
9357A,2016-07-18,7.5,B2C
9357A,2016-07-18,7.5,B2C
9238A,2016-07-19,11.5,B2B
9365A,2016-07-19,14.21875,B2B
9226A,2016-07-19,14.6875,B2C
9595A,2016-07-19,14.6875,B2C
9057A,2016-07-19,7.5,B2C
9417A,2016-07-19,15.0,B2C
9781A,2016-07-20,13.75,B2C
9280A,2016-07-20,14.21875,B2C
9582A,2016-07-22,10.71875,B2B
9118A,2016-07-22,11.5,B2C
9791A,2016-07-22,14.21875,B2C
9608A,2016-07-22,11.5,B2C
9365A,2016-07-22,14.21875,B2B
9357A,2016-07-22,7.5,B2C
9487A,2016-07-23,16.25,B2B
9624A,2016-07-23,11.75,B2C
9238A,2016-07-24,11.5,B2B
9259A,2016-07-24,16.25,B2C
9843A,2016-07-24,7.5,B2C
9487A,2016-07-25,16.25,B2B
9105A,2016-07-25,16.25,B2C
9365A,2016-07-26,14.21875,B2B
9226A,2016-07-26,14.6875,B2C
9238A,2016-07-26,11.5,B2B
9595A,2016-07-26,14.6875,B2C
9417A,2016-07-26,15.0,B2C
9852A,2016-07-26,11.75,B2C
9853A,2016-07-26,10.0,B2C
9857A,2016-07-27,10.6875,B2C
9118A,2016-07-27,11.5,B2C
9236A,2016-07-27,13.75,B2C
9845A,2016-07-27,7.5,B2B
9057A,2016-07-27,6.875,B2C
9582A,2016-07-30,10.71875,B2B
9608A,2016-07-30,11.5,B2C
9365A,2016-07-30,14.21875,B2B
9487A,2016-07-30,16.25,B2B
9259A,2016-07-31,16.25,B2C
9238A,2016-07-31,11.5,B2B
9791A,2016-07-31,14.21875,B2C
9057A,2016-07-31,6.875,B2C
9845A,2016-07-31,7.5,B2B
9482A,2016-08-01,14.21875,B2C
9105A,2016-08-01,16.25,B2C
9487A,2016-08-01,15.0,B2B
9872A,2016-08-01,11.75,B2C
9874A,2016-08-02,7.5,B2C
9365A,2016-08-02,14.21875,B2B
9238A,2016-08-02,11.5,B2B
9417A,2016-08-02,15.0,B2C
9226A,2016-08-02,14.6875,B2C
9118A,2016-08-03,11.5,B2C
9280A,2016-08-03,15.0,B2C
9843A,2016-08-03,7.5,B2C
9781A,2016-08-03,7.5,B2C
9608A,2016-08-05,11.5,B2C
9365A,2016-08-05,14.21875,B2B
9487A,2016-08-05,15.0,B2B
9118A,2016-08-06,14.21875,B2C
9482A,2016-08-06,14.21875,B2C
9887A,2016-08-06,11.75,B2C
9259A,2016-08-07,16.25,B2C
9238A,2016-08-07,11.5,B2B
9872A,2016-08-07,7.5,B2C
9482A,2016-08-08,14.21875,B2C
9105A,2016-08-08,16.25,B2C
9487A,2016-08-08,15.0,B2B
9624A,2016-08-08,11.5,B2C
9365A,2016-08-09,14.21875,B2B
9057A,2016-08-09,11.5,B2C
9845A,2016-08-09,7.5,B2B
9595A,2016-08-09,15.0,B2C
9238A,2016-08-09,11.5,B2B
9907A,2016-08-09,10.6875,B2C
9417A,2016-08-09,15.0,B2C
9280A,2016-08-10,15.0,B2C
9922A,2016-08-10,11.75,B2C
9118A,2016-08-10,11.5,B2C
9639A,2016-08-10,6.875,B2C
9971A,2016-08-12,10.0,B2C
9608A,2016-08-12,11.5,B2C
9236A,2016-08-12,13.75,B2C
9743A,2016-08-12,7.5,B2C
9487A,2016-08-12,15.0,B2B
9238A,2016-08-12,11.5,B2B
9365A,2016-08-12,14.21875,B2B
9872A,2016-08-13,11.75,B2C
9238A,2016-08-13,11.5,B2B
9977A,2016-08-13,11.75,B2C
9238A,2016-08-14,22.0,B2B
9921A,2016-08-14,10.0,B2C
9984A,2016-08-14,11.75,B2C
9988A,2016-08-14,10.0,B2C
9482A,2016-08-15,14.21875,B2C
9105A,2016-08-15,16.25,B2C
9791A,2016-08-15,14.21875,B2C
9118A,2016-08-15,14.21875,B2C
9487A,2016-08-15,15.0,B2B
9259A,2016-08-15,16.25,B2C
9983A,2016-08-15,11.75,B2C
10001A,2016-08-15,13.75,B2C
9238A,2016-08-16,11.5,B2B
9365A,2016-08-16,14.21875,B2B
9595A,2016-08-16,15.0,B2C
9907A,2016-08-16,10.6875,B2C
9417A,2016-08-16,15.0,B2C
10017A,2016-08-17,11.75,B2C
9928A,2016-08-17,11.75,B2C
9280A,2016-08-17,15.0,B2C
9236A,2016-08-17,7.5,B2C
9907A,2016-08-20,10.6875,B2C
9608A,2016-08-20,11.5,B2C
9487A,2016-08-20,15.0,B2B
9365A,2016-08-20,14.21875,B2B
9238A,2016-08-21,11.5,B2B
10055A,2016-08-21,11.75,B2C
10028A,2016-08-21,10.0,B2C
9259A,2016-08-21,16.25,B2C
9624A,2016-08-21,11.5,B2C
10044A,2016-08-21,11.75,B2C
10046A,2016-08-21,10.0,B2C
10089A,2016-08-22,7.5,B2C
9105A,2016-08-22,16.25,B2C
10056A,2016-08-22,7.5,B2C
9791A,2016-08-22,14.21875,B2C
9482A,2016-08-22,14.21875,B2C
9487A,2016-08-22,15.0,B2B
9365A,2016-08-23,14.21875,B2B
9872A,2016-08-23,7.5,B2C
10072A,2016-08-23,11.75,B2C
9238A,2016-08-23,11.5,B2B
10054A,2016-08-23,11.75,B2C
9417A,2016-08-23,15.0,B2C
9907A,2016-08-24,11.5,B2C
10108A,2016-08-24,7.5,B2C
9118A,2016-08-24,11.5,B2C
9933A,2016-08-24,10.0,B2C
9280A,2016-08-24,15.0,B2C
9057A,2016-08-24,7.5,B2C
9608A,2016-08-26,13.75,B2C
10117A,2016-08-26,11.75,B2B
10087A,2016-08-26,11.75,B2C
10005A,2016-08-26,11.75,B2C
9845A,2016-08-26,7.5,B2B
9487A,2016-08-26,15.0,B2B
9365A,2016-08-26,14.21875,B2B
9907A,2016-08-27,10.6875,B2C
10115A,2016-08-27,11.75,B2C
10114A,2016-08-27,11.75,B2C
10054A,2016-08-28,15.0,B2C
9743A,2016-08-28,7.5,B2C
9238A,2016-08-28,11.5,B2B
10141A,2016-08-28,11.75,B2C
9259A,2016-08-28,16.25,B2C
9236A,2016-08-28,12.25,B2C
10169A,2016-08-29,7.5,B2C
9105A,2016-08-29,16.25,B2C
9791A,2016-08-29,14.21875,B2C
9487A,2016-08-29,15.0,B2B
9365A,2016-08-30,14.21875,B2B
9872A,2016-08-30,15.0,B2C
9238A,2016-08-30,11.5,B2B
9595A,2016-08-30,15.0,B2C
9417A,2016-08-30,15.0,B2C
9280A,2016-08-31,15.0,B2C
10179A,2016-08-31,11.75,B2C
9907A,2016-08-31,11.5,B2C
10159A,2016-08-31,11.75,B2C
9857A,2016-08-31,10.6875,B2C
10054A,2016-09-02,15.0,B2C
10180A,2016-09-02,11.75,B2C
9608A,2016-09-02,12.25,B2C
9907A,2016-09-02,11.5,B2C
9487A,2016-09-02,15.0,B2B
9365A,2016-09-02,14.21875,B2B
10001A,2016-09-03,7.5,B2C
10087A,2016-09-04,15.0,B2C
9238A,2016-09-04,11.5,B2B
9872A,2016-09-04,7.5,B2C
10229A,2016-09-04,14.1875,B2C
10227A,2016-09-04,7.5,B2C
9259A,2016-09-04,16.25,B2C
9482A,2016-09-05,14.21875,B2C
10194A,2016-09-05,7.5,B2C
10206A,2016-09-05,11.75,B2C
9487A,2016-09-05,15.0,B2B
10254A,2016-09-05,7.5,B2C
9105A,2016-09-05,16.25,B2C
9791A,2016-09-05,14.21875,B2C
9595A,2016-09-05,15.0,B2C
9907A,2016-09-07,11.5,B2C
9118A,2016-09-07,14.21875,B2C
10055A,2016-09-07,16.25,B2C
10229A,2016-09-07,14.1875,B2C
10255A,2016-09-07,7.5,B2C
9922A,2016-09-07,15.0,B2C
9928A,2016-09-07,12.5,B2C
10159A,2016-09-07,16.25,B2C
10099A,2016-09-07,10.0,B2C
10229A,2016-09-09,14.1875,B2C
9357A,2016-09-09,5.0,B2C
10180A,2016-09-09,11.75,B2C
9365A,2016-09-09,14.21875,B2B
9608A,2016-09-09,12.25,B2C
9983A,2016-09-09,14.6875,B2C
10271A,2016-09-09,15.0,B2C
9487A,2016-09-09,15.0,B2B
10017A,2016-09-09,15.0,B2C
10253A,2016-09-09,14.21875,B2B
10275A,2016-09-09,13.75,B2C
10054A,2016-09-09,15.0,B2C
9872A,2016-09-10,15.0,B2C
9907A,2016-09-10,11.5,B2C
9236A,2016-09-11,12.25,B2C
9238A,2016-09-11,11.5,B2B
10227A,2016-09-11,11.5,B2C
10253A,2016-09-11,14.21875,B2B
10283A,2016-09-12,11.75,B2C
10229A,2016-09-12,14.1875,B2C
10312A,2016-09-12,11.75,B2C
9907A,2016-09-12,11.5,B2C
9105A,2016-09-12,16.25,B2C
9482A,2016-09-12,14.21875,B2C
9791A,2016-09-12,14.21875,B2C
9487A,2016-09-12,15.0,B2B
10108A,2016-09-13,7.5,B2C
9238A,2016-09-13,11.5,B2B
10327A,2016-09-13,11.75,B2C
10321A,2016-09-13,11.75,B2C
10087A,2016-09-13,15.0,B2C
9057A,2016-09-13,11.5,B2C
9595A,2016-09-13,15.0,B2C
9417A,2016-09-13,15.0,B2C
9365A,2016-09-13,14.21875,B2B
9118A,2016-09-14,14.21875,B2C
10159A,2016-09-14,16.25,B2C
9280A,2016-09-14,11.5,B2C
10206A,2016-09-14,12.25,B2C
9608A,2016-09-17,12.25,B2C
10253A,2016-09-17,14.21875,B2B
9365A,2016-09-17,14.21875,B2B
9238A,2016-09-18,11.5,B2B
10227A,2016-09-18,11.5,B2C
9482A,2016-09-19,14.21875,B2C
10283A,2016-09-19,15.0,B2C
10253A,2016-09-19,14.21875,B2B
9238A,2016-09-19,11.5,B2B
9907A,2016-09-19,11.5,B2C
10343A,2016-09-19,11.75,B2C
9105A,2016-09-19,16.25,B2C
9791A,2016-09-19,14.21875,B2C
9487A,2016-09-19,15.0,B2B
10206A,2016-09-20,12.25,B2C
9238A,2016-09-20,11.5,B2B
9595A,2016-09-20,15.0,B2C
9417A,2016-09-20,15.0,B2C
9365A,2016-09-20,14.21875,B2B
9118A,2016-09-21,14.21875,B2C
9928A,2016-09-21,12.5,B2C
9280A,2016-09-21,15.0,B2C
10055A,2016-09-21,16.25,B2C
10159A,2016-09-21,16.25,B2C
9922A,2016-09-21,15.0,B2C
10194A,2016-09-21,11.75,B2C
9365A,2016-09-23,14.21875,B2B
9608A,2016-09-23,12.25,B2C
10054A,2016-09-23,15.0,B2C
9872A,2016-09-23,15.0,B2C
9907A,2016-09-23,11.5,B2C
9558A,2016-09-23,7.5,B2C
10253A,2016-09-23,14.21875,B2B
10180A,2016-09-23,11.75,B2C
9487A,2016-09-23,15.0,B2B
10001A,2016-09-23,18.0,B2C
10028A,2016-09-24,12.5,B2C
10414A,2016-09-24,7.5,B2B
9238A,2016-09-25,11.5,B2B
10423A,2016-09-25,5.0,B2C
10253A,2016-09-25,14.21875,B2B
10422A,2016-09-25,10.625,B2B
10089A,2016-09-25,11.5,B2C
9482A,2016-09-26,14.21875,B2C
10141A,2016-09-26,12.5,B2C
9791A,2016-09-26,15.0,B2C
9487A,2016-09-26,15.0,B2B
10227A,2016-09-27,11.5,B2C
9238A,2016-09-27,11.5,B2B
10206A,2016-09-27,12.25,B2C
9595A,2016-09-27,15.0,B2C
10447A,2016-09-27,11.75,B2C
9365A,2016-09-27,14.21875,B2B
10422A,2016-09-27,10.625,B2B
9417A,2016-09-27,15.0,B2C
9118A,2016-09-28,14.21875,B2C
10159A,2016-09-28,16.25,B2C
9857A,2016-09-28,10.6875,B2C
10046A,2016-09-28,12.5,B2C
10407A,2016-09-28,9.375,B2C
10258A,2016-09-28,7.5,B2C
9280A,2016-09-28,15.0,B2C
9105A,2016-09-28,16.25,B2C
9608A,2016-09-30,12.25,B2C
10460A,2016-09-30,14.6875,B2B
10422A,2016-09-30,13.75,B2B
10253A,2016-09-30,14.21875,B2B
9983A,2016-09-30,14.6875,B2C
9357A,2016-09-30,13.75,B2C
9872A,2016-09-30,15.0,B2C
9365A,2016-09-30,14.21875,B2B
10054A,2016-09-30,15.0,B2C
10414A,2016-10-01,11.5,B2B
10488A,2016-10-02,11.75,B2C
10253A,2016-10-02,14.21875,B2B
10422A,2016-10-02,13.75,B2B
10227A,2016-10-02,11.5,B2C
9238A,2016-10-02,11.5,B2B
10197A,2016-10-02,15.0,B2C
9482A,2016-10-03,14.21875,B2C
9907A,2016-10-03,11.5,B2C
10493A,2016-10-03,11.75,B2C
10460A,2016-10-03,14.6875,B2B
10117A,2016-10-04,13.75,B2B
9365A,2016-10-04,14.21875,B2B
9595A,2016-10-04,15.0,B2C
10434A,2016-10-04,15.0,B2C
10422A,2016-10-04,13.75,B2B
10206A,2016-10-04,12.25,B2C
9417A,2016-10-04,15.0,B2C
10197A,2016-10-04,15.0,B2C
9238A,2016-10-04,11.5,B2B
10526A,2016-10-05,7.5,B2C
9118A,2016-10-05,14.21875,B2C
9922A,2016-10-05,15.0,B2C
10376A,2016-10-05,7.5,B2C
10159A,2016-10-05,12.25,B2C
9781A,2016-10-05,7.5,B2C
9280A,2016-10-05,15.0,B2C
10522A,2016-10-05,10.0,B2C
9105A,2016-10-05,16.25,B2C
10505A,2016-10-05,7.5,B2C
10511A,2016-10-05,11.75,B2C
9482A,2016-10-07,12.0625,B2C
10197A,2016-10-07,15.0,B2C
10054A,2016-10-07,15.0,B2C
10422A,2016-10-07,13.75,B2B
10460A,2016-10-07,14.6875,B2B
9365A,2016-10-07,14.21875,B2B
9608A,2016-10-07,7.6875,B2C
10253A,2016-10-07,15.0,B2B
10180A,2016-10-08,13.25,B2C
10447A,2016-10-08,13.75,B2C
10434A,2016-10-08,15.0,B2C
10414A,2016-10-08,11.5,B2B
9057A,2016-10-08,7.5,B2C
10253A,2016-10-09,15.0,B2B
9238A,2016-10-09,11.5,B2B
10571A,2016-10-09,7.5,B2C
10229A,2016-10-09,15.0,B2C
10422A,2016-10-09,13.75,B2B
10227A,2016-10-09,11.5,B2C
10197A,2016-10-09,15.0,B2C
9872A,2016-10-10,15.0,B2C
10584A,2016-10-10,11.75,B2B
10460A,2016-10-10,14.6875,B2B
10434A,2016-10-11,15.0,B2C
10566A,2016-10-11,11.75,B2C
9365A,2016-10-11,14.21875,B2B
10194A,2016-10-11,14.21875,B2C
10422A,2016-10-11,13.75,B2B
9417A,2016-10-11,15.0,B2C
10197A,2016-10-11,15.0,B2C
9238A,2016-10-11,11.5,B2B
10407A,2016-10-12,9.375,B2C
9118A,2016-10-12,14.21875,B2C
10159A,2016-10-12,12.25,B2C
10229A,2016-10-12,5.0,B2C
10550A,2016-10-12,11.75,B2C
9887A,2016-10-12,11.75,B2C
10571A,2016-10-12,11.75,B2C
9280A,2016-10-12,16.25,B2C
9105A,2016-10-12,16.25,B2C
10460A,2016-10-14,15.0,B2B
10054A,2016-10-14,15.0,B2C
10584A,2016-10-14,15.0,B2B
9608A,2016-10-14,7.6875,B2C
10017A,2016-10-14,8.125,B2C
9482A,2016-10-14,12.0625,B2C
10253A,2016-10-14,15.0,B2B
10611A,2016-10-14,10.5,B2C
10017A,2016-10-14,8.125,B2C
10197A,2016-10-14,15.0,B2C
10578A,2016-10-14,11.75,B2C
10422A,2016-10-14,13.75,B2B
9365A,2016-10-14,14.21875,B2B
10606A,2016-10-14,11.75,B2C
10283A,2016-10-15,15.0,B2C
10592A,2016-10-15,11.75,B2B
10608A,2016-10-15,11.5,B2B
10414A,2016-10-15,11.5,B2B
10434A,2016-10-15,15.0,B2C
9907A,2016-10-15,11.5,B2C
9482A,2016-10-16,14.21875,B2C
10197A,2016-10-16,15.0,B2C
10629A,2016-10-16,12.25,B2C
10630A,2016-10-16,13.75,B2C
10253A,2016-10-16,15.0,B2B
10422A,2016-10-16,13.75,B2B
10649A,2016-10-16,9.875,B2B
9238A,2016-10-16,11.5,B2B
9482A,2016-10-17,14.21875,B2C
10658A,2016-10-17,7.5,B2C
10460A,2016-10-17,15.0,B2B
10248A,2016-10-17,25.83325,B2B
10655A,2016-10-17,7.5,B2B
10649A,2016-10-17,9.875,B2B
9983A,2016-10-18,14.6875,B2C
9365A,2016-10-18,14.21875,B2B
9595A,2016-10-18,15.0,B2C
10159A,2016-10-18,12.25,B2C
10671A,2016-10-18,8.0,B2C
10571A,2016-10-18,12.5,B2C
10434A,2016-10-18,15.0,B2C
10197A,2016-10-18,15.0,B2C
10422A,2016-10-18,13.75,B2B
9417A,2016-10-18,15.0,B2C
10618A,2016-10-18,7.5,B2C
10566A,2016-10-18,15.0,B2C
9238A,2016-10-18,11.5,B2B
10571A,2016-10-19,12.5,B2C
9118A,2016-10-19,14.21875,B2C
10180A,2016-10-19,13.25,B2C
9105A,2016-10-19,16.25,B2C
9922A,2016-10-19,15.0,B2C
10653A,2016-10-19,9.25,B2C
9236A,2016-10-19,12.25,B2C
10608A,2016-10-19,11.5,B2B
9608A,2016-10-21,7.6875,B2C
10460A,2016-10-21,15.0,B2B
10655A,2016-10-21,11.5,B2B
10054A,2016-10-21,15.0,B2C
9976A,2016-10-21,14.375,B2B
9280A,2016-10-21,16.25,B2C
10422A,2016-10-21,13.75,B2B
10253A,2016-10-21,15.0,B2B
10197A,2016-10-21,15.0,B2C
9907A,2016-10-21,11.5,B2C
10655A,2016-10-22,11.5,B2B
10652A,2016-10-22,13.33325,B2B
10283A,2016-10-22,15.0,B2C
10434A,2016-10-22,15.0,B2C
10447A,2016-10-22,13.75,B2C
10414A,2016-10-22,11.5,B2B
10689A,2016-10-22,16.25,B2C
10422A,2016-10-23,13.75,B2B
10655A,2016-10-23,11.5,B2B
10227A,2016-10-23,11.5,B2C
10253A,2016-10-23,15.0,B2B
10197A,2016-10-23,15.0,B2C
9238A,2016-10-23,11.5,B2B
9482A,2016-10-24,14.21875,B2C
10653A,2016-10-24,15.0,B2C
10652A,2016-10-24,13.33325,B2B
10087A,2016-10-24,13.625,B2C
10460A,2016-10-24,15.0,B2B
10248A,2016-10-24,25.83325,B2B
9907A,2016-10-24,11.5,B2C
10655A,2016-10-25,11.5,B2B
10434A,2016-10-25,15.0,B2C
10668A,2016-10-25,13.75,B2C
9595A,2016-10-25,15.0,B2C
10566A,2016-10-25,15.0,B2C
10741A,2016-10-25,15.0,B2B
10745A,2016-10-25,16.25,B2C
10689A,2016-10-25,16.25,B2C
10422A,2016-10-25,13.75,B2B
9238A,2016-10-25,11.5,B2B
9365A,2016-10-25,14.21875,B2B
10407A,2016-10-26,9.375,B2C
9118A,2016-10-26,14.21875,B2C
9857A,2016-10-26,10.6875,B2C
10522A,2016-10-26,10.0,B2C
10526A,2016-10-26,7.5,B2C
10159A,2016-10-26,12.25,B2C
10608A,2016-10-26,11.5,B2B
10663A,2016-10-26,11.75,B2C
9105A,2016-10-26,15.0,B2C
10206A,2016-10-26,16.25,B2C
9608A,2016-10-28,7.6875,B2C
10197A,2016-10-28,15.0,B2C
9236A,2016-10-28,7.5,B2C
10422A,2016-10-28,13.75,B2B
10744A,2016-10-28,11.25,B2B
10752A,2016-10-28,7.5,B2C
10087A,2016-10-28,15.0,B2C
9976A,2016-10-28,14.375,B2B
9487A,2016-10-28,15.0,B2B
10655A,2016-10-28,11.5,B2B
10054A,2016-10-28,15.0,B2C
9907A,2016-10-28,11.5,B2C
10460A,2016-10-28,15.0,B2B
10253A,2016-10-28,15.0,B2B
10283A,2016-10-29,15.0,B2C
10652A,2016-10-29,13.33325,B2B
10434A,2016-10-29,15.0,B2C
10655A,2016-10-29,11.5,B2B
